RPT_DATE,RPT_YR,GEOGRAPHY,SVC_DESC,AMOUNT,AMOUNT_ANNOT,AMOUNT_TYPE
6/30/2020,FY1920,Calaveras,MENTAL_HEALTH_SVCS,81326,,DOLLARS
6/30/2020,FY1920,Colusa,ALL,,1,MEMBERS
6/30/2020,FY1920,Colusa,ALL,,1,DOLLARS
6/30/2020,FY1920,Colusa,CRISIS_INTERVENTION,,1,MEMBERS
6/30/2020,FY1920,Colusa,CRISIS_INTERVENTION,,1,DOLLARS
6/30/2020,FY1920,Colusa,CRISIS_INTERVENTION,,1,MINUTES
6/30/2020,FY1920,Colusa,ICC,,1,MEMBERS
6/30/2020,FY1920,Colusa,ICC,,1,DOLLARS
6/30/2020,FY1920,Colusa,ICC,,1,MINUTES
6/30/2020,FY1920,Colusa,IHBS,,1,MEMBERS
6/30/2020,FY1920,Colusa,IHBS,,1,DOLLARS
6/30/2020,FY1920,Colusa,IHBS,,1,MINUTES
6/30/2020,FY1920,Colusa,MENTAL_HEALTH_SVCS,,1,MEMBERS
6/30/2020,FY1920,Colusa,MENTAL_HEALTH_SVCS,,1,DOLLARS
6/30/2020,FY1920,Colusa,MENTAL_HEALTH_SVCS,,1,MINUTES
6/30/2020,FY1920,Contra Costa,ALL,319,,MEMBERS
6/30/2020,FY1920,Contra Costa,ALL,7580684,,DOLLARS
6/30/2020,FY1920,Contra Costa,CASE_MANAGEMENT/BROKERAGE,207,,MEMBERS
6/30/2020,FY1920,Contra Costa,CASE_MANAGEMENT/BROKERAGE,133398,,MINUTES
6/30/2020,FY1920,Contra Costa,CASE_MANAGEMENT/BROKERAGE,383262,,DOLLARS
6/30/2020,FY1920,Contra Costa,CRISIS_INTERVENTION,14,,MEMBERS
6/30/2020,FY1920,Contra Costa,CRISIS_INTERVENTION,4351,,MINUTES
6/30/2020,FY1920,Contra Costa,CRISIS_INTERVENTION,23379,,DOLLARS
6/30/2020,FY1920,Contra Costa,CRISIS_STABILIZATION,32,,MEMBERS
6/30/2020,FY1920,Contra Costa,CRISIS_STABILIZATION,815,,HOURS
6/30/2020,FY1920,Contra Costa,CRISIS_STABILIZATION,116149,,DOLLARS
6/30/2020,FY1920,Contra Costa,ICC,278,,MEMBERS
6/30/2020,FY1920,Contra Costa,ICC,460032,,MINUTES
6/30/2020,FY1920,Contra Costa,ICC,1323248,,DOLLARS
6/30/2020,FY1920,Contra Costa,IHBS,47,,MEMBERS
6/30/2020,FY1920,Contra Costa,IHBS,115329,,MINUTES
6/30/2020,FY1920,Contra Costa,IHBS,433953,,DOLLARS
6/30/2020,FY1920,Contra Costa,MEDICATION_SUPPORT_SVCS,102,,MEMBERS
6/30/2020,FY1920,Contra Costa,MEDICATION_SUPPORT_SVCS,27755,,MINUTES
6/30/2020,FY1920,Contra Costa,MEDICATION_SUPPORT_SVCS,184512,,DOLLARS
6/30/2020,FY1920,Contra Costa,MENTAL_HEALTH_SVCS,270,,MEMBERS
6/30/2020,FY1920,Contra Costa,MENTAL_HEALTH_SVCS,1080443,,MINUTES
